TestNumber,LoadingTime (ms)
1,0.497895
2,0.462533
3,0.420119
4,0.431526
5,0.456796
6,0.425700
7,0.442061
8,0.422765
9,0.418972
10,0.422499
11,0.417597
12,0.434142
13,0.402323
14,0.419608
15,0.437889
16,0.414018
17,0.423456
18,0.420097
19,0.406158
20,0.423826
21,0.410738
22,0.405659
23,0.406849
24,0.405955
25,0.435078
26,0.403003
27,0.403868
28,0.407117
29,0.416982
30,0.437536
31,0.424093
32,0.407100
33,0.422900
34,0.407168
35,0.420349
36,0.461282
37,0.423802
38,0.427908
39,0.428550
40,0.438298
41,0.427178
42,0.434368
43,0.433266
44,0.425280
45,0.420395
46,0.418469
47,0.431982
48,0.425553
49,0.411770
50,0.422496
